mode,mass_squared,boundary_residue,normalized_weight,cumulative_normalized_weight
232,531221.75395086047,2.6145168363519569e-08,3.1374202036223483e-07,0.99992736845829977
233,535811.1199973675,2.5921228101385606e-08,3.110547372166273e-07,0.99992767951303696
234,540420.22525267629,2.5700152641069098e-08,3.0840183169282918e-07,0.9999279879148687
235,545049.06971678755,2.5481893475353922e-08,3.0578272170424707e-07,0.9999282936975904
236,549697.65338970092,2.5266402919631127e-08,3.0319683503557355e-07,0.99992859689442548
237,554365.97627141688,2.5053634404210687e-08,3.0064361285052823e-07,0.99992889753803837
238,559054.03836193436,2.4843542049595324e-08,2.9812250459514388e-07,0.99992919566054295
239,563761.8396612542,2.4636081362672293e-08,2.956329763520675e-07,0.99992949129351927
240,568489.38016937661,2.4431208608624598e-08,2.9317450330349519e-07,0.99992978446802261
241,573236.65988630091,2.422888079900643e-08,2.9074656958807716e-07,0.99993007521459221
242,578003.67881202744,2.4029055979091611e-08,2.8834867174909932e-07,0.99993036356326392
243,582790.43694655586,2.3831693011635085e-08,2.8598031613962105e-07,0.99993064954358002
244,587596.93428988662,2.3636751662483737e-08,2.8364101994980484e-07,0.99993093318460002
245,592423.17084201984,2.3444192585535791e-08,2.813303110264295e-07,0.99993121451491107
246,597269.14660295495,2.3253976915706928e-08,2.790477229884831e-07,0.99993149356263411
247,602134.86157269217,2.3066066848428163e-08,2.7679280218113797e-07,0.99993177035543634
248,607020.31575123162,2.2880425329539446e-08,2.7456510395447333e-07,0.99993204492054033
249,611925.50913857354,2.2697016043244764e-08,2.7236419251893717e-07,0.99993231728473286
250,616850.44173471711,2.2515803110782997e-08,2.7018963732939594e-07,0.99993258747437019
251,621795.11353966326,2.2336751853506397e-08,2.6804102224207679e-07,0.99993285551539246
252,626759.52455341152,2.2159827910237142e-08,2.6591793492284569e-07,0.99993312143332735
253,631743.6747759619,2.1984997710475169e-08,2.6381997252570205e-07,0.99993338525329989
254,636747.5642073144,2.1812228366480637e-08,2.6174674039776763e-07,0.99993364700004028
255,641771.19284746924,2.1641487662442033e-08,2.5969785194930441e-07,0.99993390669789228
256,646814.5606964262,2.1472743855361416e-08,2.5767292626433699e-07,0.9999341643708185
257,651877.66775418539,2.1305966043761889e-08,2.5567159252514266e-07,0.99993442004241107
258,656960.51402074657,2.1141123686191773e-08,2.5369348423430125e-07,0.99993467373589529
259,662063.09949610976,2.0978186969152216e-08,2.5173824362982658e-07,0.99993492547413887
260,667185.42418027564,2.0817126795326371e-08,2.4980552154391643e-07,0.99993517527966036
261,672327.48807324329,2.0657914217428541e-08,2.4789497060914248e-07,0.99993542317463102
262,677489.29117501329,2.0500521266176205e-08,2.4600625519411447e-07,0.99993566918088617
263,682670.83348558564,2.0344920291639236e-08,2.4413904349967086e-07,0.9999359133199297
264,687872.11500495975,2.0191084050575152e-08,2.4229300860690179e-07,0.99993615561293836
265,693093.13573313633,2.0038986155893939e-08,2.4046783387072727e-07,0.99993639608077223
266,698333.89567011513,1.9888600427591283e-08,2.3866320513109537e-07,0.99993663474397732
267,703594.39481589571,1.9739901161786147e-08,2.3687881394143376e-07,0.99993687162279121
268,708874.63317047886,1.9592863393694043e-08,2.351143607243285e-07,0.99993710673715197
269,714174.61073386413,1.9447462437220077e-08,2.3336954924664094e-07,0.99993734010670121
270,719494.3275060514,1.9303673970857419e-08,2.3164408765028904e-07,0.9999375717507889
271,724833.78348704102,1.9161474388713684e-08,2.2993769266456421e-07,0.99993780168848156
272,730192.97867683275,1.9020840256805915e-08,2.2825008308167098e-07,0.99993802993856462
273,735571.91307542671,1.8881748753342589e-08,2.2658098504011107e-07,0.99993825651954971
274,740970.58668282267,1.8744177306900209e-08,2.249301276828025e-07,0.99993848144967734
275,746388.99949902121,1.8608104032009002e-08,2.2329724838410802e-07,0.9999387047469257
276,751827.15152402152,1.8473507018910367e-08,2.2168208422692441e-07,0.99993892642900994
277,757285.04275782406,1.8340365119268024e-08,2.2008438143121627e-07,0.99993914651339133
278,762762.67320042884,1.8208657413177458e-08,2.185038889581295e-07,0.99993936501728031
279,768260.04285183572,1.8078363379366484e-08,2.169403605523978e-07,0.99993958195764088
280,773777.15171204496,1.79494628893977e-08,2.1539355467277238e-07,0.99993979735119554
281,779313.99978105631,1.7821936116112205e-08,2.1386323339334644e-07,0.99994001121442888
282,784870.58705887001,1.7695763615093928e-08,2.1234916338112713e-07,0.99994022356359225
283,790446.9135454857,1.7570926233884996e-08,2.1085111480661995e-07,0.99994043441470704
284,796042.9792409034,1.7447405192988166e-08,2.0936886231585798e-07,0.99994064378356939
285,801658.78414512356,1.7325182165138956e-08,2.0790218598166747e-07,0.99994085168575542
286,807294.32825814583,1.7204238931123092e-08,2.0645086717347711e-07,0.9999410581366226
